Department,Category,SubCategory,Initial_Seats,Allocated,Remaining_Seats
me,GEN,GNSPT,1,0,1
cs,GEN,GNPWD,1,0,1
cs,EWS,EWSPWD,1,0,1
cs,EWS,EWSCDP,1,0,1
cs,EWS,EWSCPF,1,0,1
cs,EWS,EWSSPT,0,0,0
ce,GEN,GNPWD,1,0,1
ce,GEN,GNSPT,1,0,1
ece,GEN,GNPWD,1,0,1
ee,GEN,GNPWD,1,0,1
mnc,GEN,GNPWD,1,0,1
ai_robotics,GEN,GNSPT,0,0,0
cs,GEN,GNSPT,0,0,0
ece,GEN,GNSPT,0,0,0
mnc,GEN,GNSPT,0,0,0
ee,GEN,GNSPT,0,0,0
cs,GEN,GNCDP,0,0,0
ai_robotics,GEN,GNCDP,0,0,0
ece,GEN,GNCDP,0,0,0
me,GEN,GNCDP,0,0,0
ce,GEN,GNCDP,0,0,0
ee,GEN,GNCDP,0,0,0
mnc,GEN,GNCDP,0,0,0
cs,GEN,GNCPF,0,0,0
ai_robotics,GEN,GNCPF,0,0,0
ece,GEN,GNCPF,0,0,0
ce,GEN,GNCPF,0,0,0
ee,GEN,GNCPF,0,0,0
me,GEN,GNCPF,0,0,0
mnc,GEN,GNCPF,0,0,0